Ref,Body_Style,Doors,Cab_Config,Bed_Length_in,Bed_Volume_cuft,Roof_Height,Wheelbase_in,Length_in,Width_in,Height_in,Track_Front_in,Track_Rear_in,Ground_Clearance_in,Approach_Angle_deg,Departure_Angle_deg,Breakover_Angle_deg,Drag_Coefficient,Cargo_Volume_cuft,Cargo_Volume_Max_cuft,Fuel_Capacity_gal,Seating_Rows
nhtsa-acura-adx-suv-4dr-104-3,SUV,4,,,,,104.3,185.8,72.4,63.8,62.6,63,,,,,,,,,
nhtsa-acura-ilx-sedan-4dr-105-1,Sedan,4,,,,,105.1,178.7,70.9,55.5,59.1,59.8,,,,,,,,,
nhtsa-acura-ilx-sedan-4dr-105-1-2,Sedan,4,,,,,105.1,181.9,70.9,55.5,59.4,59.8,,,,,,,,,
nhtsa-acura-integra-body-99-2,,,,,,,99.2,171.3,65.7,50.8,55.9,56.3,,,,,,,,,
nhtsa-acura-integra-coupe-2dr-101-2,Coupe,2,,,,,101.2,172.4,67.3,52.8,57.9,57.1,,,,,,,,,
nhtsa-acura-integra-coupe-2dr-101-2-2,Coupe,2,,,,,101.2,172.4,66.9,52,57.9,57.1,,,,,,,,,
nhtsa-acura-integra-coupe-2dr-101-2-3,Coupe,2,,,,,101.2,172.4,67.3,52.8,58.3,57.9,,,,,,,,,
nhtsa-acura-integra-hatchback-2dr-100-4,Hatchback,2,,,,,100.4,172.8,67.3,52.4,57.9,57.9,,,,,,,,,
nhtsa-acura-integra-hatchback-2dr-99-2,Hatchback,2,,,,,99.2,171.3,65.7,50.8,,,,,,,,,,,
nhtsa-acura-integra-hatchback-2dr-99-2-2,Hatchback,2,,,,,99.2,171.7,65.7,53.1,,,,,,,,,,,
nhtsa-acura-integra-hatchback-4dr-99-2,Hatchback,4,,,,,99.2,171.3,65.7,50.8,,,,,,,,,,,
nhtsa-acura-integra-hatchback-4dr-99-2-2,Hatchback,4,,,,,99.2,171.7,65.7,53.1,,,,,,,,,,,
nhtsa-acura-integra-sedan-4dr-102-4,Sedan,4,,,,,102.4,176.4,67.3,52.8,57.9,57.9,,,,,,,,,
nhtsa-acura-integra-sedan-4dr-103-1,Sedan,4,,,,,103.1,178.3,67.3,53.9,57.9,57.5,,,,,,,,,
nhtsa-acura-integra-sedan-4dr-99-2,Sedan,4,,,,,99.2,171.7,65.7,53.1,,,,,,,,,,,
nhtsa-acura-integra-sedan-4dr-99-2-2,Sedan,4,,,,,99.2,171.3,65.7,50.8,55.9,56.3,,,,,,,,,
nhtsa-acura-integra-sedan-5dr-107-9,Sedan,5,,,,,107.9,186.2,72,55.5,60.6,61.8,,,,,,,,,
nhtsa-acura-integra-sedan-5dr-107-9-2,Sedan,5,,,,,107.9,186.2,74.8,55.5,64.2,63.4,,,,,,,,,
nhtsa-acura-legend-coupe-106-7,Coupe,,,,,,106.7,188.2,68.9,53.9,,,,,,,,,,,
nhtsa-acura-legend-coupe-2dr-106-7,Coupe,2,,,,,106.7,188.2,68.9,53.9,59.1,59.1,,,,,,,,,
nhtsa-acura-legend-coupe-2dr-111-4,Coupe,2,,,,,111.4,192.5,71.3,53.5,,,,,,,,,,,
nhtsa-acura-legend-coupe-2dr-111-4-2,Coupe,2,,,,,111.4,192.5,71.3,53.5,61,60.2,,,,,,,,,
nhtsa-acura-legend-sedan-4dr-108-7,Sedan,4,,,,,108.7,189.4,68.5,54.7,,,,,,,,,,,
nhtsa-acura-legend-sedan-4dr-108-7-2,Sedan,4,,,,,108.7,190.6,68.9,54.7,59.1,59.1,,,,,,,,,
nhtsa-acura-legend-sedan-4dr-114-6,Sedan,4,,,,,114.6,194.9,71.3,55.1,,,,,,,,,,,
nhtsa-acura-legend-sedan-4dr-114-6-2,Sedan,4,,,,,114.6,194.9,71.3,55.1,61,60.2,,,,,,,,,
nhtsa-acura-mdx-body-106-3,,,,,,,106.3,188.6,77.2,71.3,66.5,66.5,,,,,,,,,
nhtsa-acura-mdx-body-106-3-2,,,,,,,106.3,188.2,77.2,71.3,66.5,66.5,,,,,,,,,
nhtsa-acura-mdx-suv-4dr-108-3,SUV,4,,,,,108.3,190.6,78.3,68.1,68.5,67.7,,,,,,,,,
nhtsa-acura-mdx-suv-4dr-108-3-2,SUV,4,,,,,108.3,190.9,78.3,68.1,67.7,67.7,,,,,,,,,
nhtsa-acura-mdx-suv-4dr-111,SUV,4,,,,,111,193.7,77.2,67.3,66.5,66.1,,,,,,,,,
nhtsa-acura-mdx-suv-4dr-111-2,SUV,4,,,,,111,196.1,77.2,67.3,66.5,66.1,,,,,,,,,
