Ref,Powertrain_Type,Engine_Ref,Battery_Ref,Combined_Horsepower,Combined_Torque_lbft,Electric_Range_mi,DC_Charge_kW,AC_Charge_kW,Charge_Port
pt-mazda-skyactivg-2.0,ICE,mazda-skyactivg-2.0,,,,,,,
pt-porsche-9a2evo-3.0tt,ICE,porsche-9a2evo-3.0tt,,,,,,,
pt-porsche-9a1-4.0,ICE,porsche-9a1-4.0,,,,,,,
pt-toyota-b58-3.0t,ICE,toyota-b58-3.0t,,,,,,,
pt-honda-f20c-2.0,ICE,honda-f20c-2.0,,,,,,,
pt-subaru-fa20dit-2.0t,ICE,subaru-fa20dit-2.0t,,,,,,,
pt-ford-coyote-gen3-5.0,ICE,ford-coyote-gen3-5.0,,,,,,,
pt-chevrolet-lt2-6.2-early,ICE,chevrolet-lt2-6.2-early,,,,,,,
pt-chevrolet-lt2-6.2-late,ICE,chevrolet-lt2-6.2-late,,,,,,,
pt-bmw-s58-3.0tt,ICE,bmw-s58-3.0tt,,,,,,,
pt-nissan-vr38dett-3.8tt,ICE,nissan-vr38dett-3.8tt,,,,,,,
pt-vw-ea888gen3-2.0t,ICE,vw-ea888gen3-2.0t,,,,,,,
pt-honda-k20c1-2.0t,ICE,honda-k20c1-2.0t,,,,,,,
pt-toyota-2jzgte-3.0tt,ICE,toyota-2jzgte-3.0tt,,,,,,,
pt-nissan-rb26dett-2.6tt,ICE,nissan-rb26dett-2.6tt,,,,,,,
pt-mitsubishi-4g63-2.0t,ICE,mitsubishi-4g63-2.0t,,,,,,,
pt-subaru-ej257-2.5t,ICE,subaru-ej257-2.5t,,,,,,,
pt-dodge-viper-8.4-v10,ICE,dodge-viper-8.4-v10,,,,,,,
pt-dodge-hellcat-6.2sc,ICE,dodge-hellcat-6.2sc,,,,,,,
pt-bmw-s54-3.2,ICE,bmw-s54-3.2,,,,,,,
pt-audi-r8-5.2fsi-v10,ICE,audi-r8-5.2fsi-v10,,,,,,,
pt-ferrari-f136-4.5,ICE,ferrari-f136-4.5,,,,,,,
pt-lamborghini-huracan-5.2,ICE,lamborghini-huracan-5.2,,,,,,,
pt-mclaren-m840t-4.0tt,ICE,mclaren-m840t-4.0tt,,,,,,,
pt-toyota-4age-1.6,ICE,toyota-4age-1.6,,,,,,,
pt-acura-c30a-3.0,ICE,acura-c30a-3.0,,,,,,,
pt-ford-ecoboost-3.5tt-gt,ICE,ford-ecoboost-3.5tt-gt,,,,,,,
pt-toyota-a25afks-2.5,ICE,toyota-a25afks-2.5,,,,,,,
pt-honda-l15b7-1.5t,ICE,honda-l15b7-1.5t,,,,,,,
pt-audi-2.5tfsi-i5,ICE,audi-2.5tfsi-i5,,,,,,,
pt-datsun-l24-2.4,ICE,datsun-l24-2.4,,,,,,,
pt-bmw-m10-2.0,ICE,bmw-m10-2.0,,,,,,,
pt-porsche-356-1.6,ICE,porsche-356-1.6,,,,,,,
pt-jaguar-xk-3.8,ICE,jaguar-xk-3.8,,,,,,,
pt-mercedes-m198-3.0,ICE,mercedes-m198-3.0,,,,,,,
pt-chevrolet-265-v8,ICE,chevrolet-265-v8,,,,,,,
pt-pontiac-389-v8,ICE,pontiac-389-v8,,,,,,,
pt-buick-lc2-3.8t,ICE,buick-lc2-3.8t,,,,,,,
pt-ford-289-4.7,ICE,ford-289-4.7,,,,,,,
pt-bmw-s14-2.3,ICE,bmw-s14-2.3,,,,,,,
pt-mazda-13brew-1.3tt,ICE,mazda-13brew-1.3tt,,,,,,,
pt-nissan-vg30dett-3.0tt,ICE,nissan-vg30dett-3.0tt,,,,,,,
pt-toyota-3sgte-2.0t,ICE,toyota-3sgte-2.0t,,,,,,,
pt-honda-b18c5-1.8,ICE,honda-b18c5-1.8,,,,,,,
pt-lexus-1lrgue-4.8,ICE,lexus-1lrgue-4.8,,,,,,,
pt-mclaren-s70-2-6.1,ICE,mclaren-s70-2-6.1,,,,,,,
pt-ferrari-f129-3.5,ICE,ferrari-f129-3.5,,,,,,,
pt-ferrari-flat12-4.9,ICE,ferrari-flat12-4.9,,,,,,,
pt-lamborghini-v12qv-5.2,ICE,lamborghini-v12qv-5.2,,,,,,,
pt-ford-427-sideoiler,ICE,ford-427-sideoiler,,,,,,,
pt-porsche-944-2.5,ICE,porsche-944-2.5,,,,,,,
pt-porsche-928-4.7,ICE,porsche-928-4.7,,,,,,,
pt-volvo-b5234t-2.3t,ICE,volvo-b5234t-2.3t,,,,,,,
pt-saab-b202-2.0t,ICE,saab-b202-2.0t,,,,,,,
pt-mercedes-m102-2.3-16,ICE,mercedes-m102-2.3-16,,,,,,,
pt-chevrolet-ls1-5.7-vette,ICE,chevrolet-ls1-5.7-vette,,,,,,,
pt-chevrolet-ls1-5.7-fbody,ICE,chevrolet-ls1-5.7-fbody,,,,,,,
pt-chevrolet-ls1-5.7-holden,ICE,chevrolet-ls1-5.7-holden,,,,,,,
pt-chevrolet-ls1-5.7-hsv,ICE,chevrolet-ls1-5.7-hsv,,,,,,,
pt-chevrolet-ls1-5.7-gto,ICE,chevrolet-ls1-5.7-gto,,,,,,,
