Ref,Manufacturer,Code,Type,Forward_Gears,First_Gear_Ratio,Top_Gear_Ratio
ford-10r80,Ford,10R80,Automatic,10,4.696,0.636
gm-10l80,GM,10L80,Automatic,10,4.696,0.636
gm-10l90,GM,10L90,Automatic,10,4.696,0.636
gm-8l90,GM,8L90,Automatic,8,4.56,0.65
gm-6l80,GM,6L80,Automatic,6,4.03,0.67
gm-4l60e,GM,4L60E,Automatic,4,3.06,0.7
gm-4l80e,GM,4L80E,Automatic,4,2.48,0.75
gm-t56,BorgWarner,T56,Manual,6,2.66,0.5
gm-tr6060,Tremec,TR-6060,Manual,6,2.66,0.5
tremec-tr9080,Tremec,TR-9080,DCT,8,,
zf-8hp,ZF,8HP,Automatic,8,4.71,0.67
zf-6hp,ZF,6HP,Automatic,6,4.17,0.69
aisin-ab60e,Aisin,AB60E,Automatic,6,3.33,0.59
porsche-pdk7,Porsche,PDK,DCT,7,3.91,0.62
porsche-pdk8,Porsche,PDK,DCT,8,3.91,0.62
getrag-dct,Getrag,7DCT,DCT,7,,
ford-6r80,Ford,6R80,Automatic,6,4.17,0.69
