Make,Model,Year,Engine_Ref
Mazda,MX-5 Miata,2019,mazda-skyactivg-2.0
Porsche,911,2020,porsche-9a2evo-3.0tt
Porsche,911,2018,porsche-9a1-4.0
Toyota,GR Supra,2021,toyota-b58-3.0t
Honda,S2000,2000,honda-f20c-2.0
Subaru,WRX,2018,subaru-fa20dit-2.0t
Ford,Mustang,2020,ford-coyote-gen3-5.0
Chevrolet,Corvette,2021,chevrolet-lt2-6.2
BMW,M3,2022,bmw-s58-3.0tt
Nissan,GT-R,2020,nissan-vr38dett-3.8tt
Volkswagen,Golf GTI,2017,vw-ea888gen3-2.0t
Honda,Civic Type R,2018,honda-k20c1-2.0t
Toyota,Supra,1994,toyota-2jzgte-3.0tt
Nissan,Skyline GT-R,1999,nissan-rb26dett-2.6tt
Mitsubishi,Lancer Evolution,2006,mitsubishi-4g63-2.0t
Subaru,Impreza WRX STI,2006,subaru-ej257-2.5t
Dodge,Viper,2013,dodge-viper-8.4-v10
Chevrolet,Camaro,2016,chevrolet-lt1-6.2
Dodge,Challenger,2015,dodge-hellcat-6.2sc
BMW,M3,2003,bmw-s54-3.2
Audi,R8,2017,audi-r8-5.2fsi-v10
Ferrari,458 Italia,2011,ferrari-f136-4.5
Lamborghini,Huracan,2015,lamborghini-huracan-5.2
McLaren,720S,2018,mclaren-m840t-4.0tt
Toyota,Corolla GT-S,1985,toyota-4age-1.6
Acura,NSX,1991,acura-c30a-3.0
Ford,GT,2017,ford-ecoboost-3.5tt-gt
Toyota,Camry,2020,toyota-a25afks-2.5
Honda,Accord,2018,honda-l15b7-1.5t
Audi,TT RS,2018,audi-2.5tfsi-i5
Datsun,240Z,1970,datsun-l24-2.4
BMW,2002,1972,bmw-m10-2.0
Porsche,356,1955,porsche-356-1.6
Jaguar,E-Type,1961,jaguar-xk-3.8
Mercedes-Benz,300SL,1955,mercedes-m198-3.0
Chevrolet,Bel Air,1955,chevrolet-265-v8
Pontiac,GTO,1966,pontiac-389-v8
Buick,Grand National,1987,buick-lc2-3.8t
Ford,Mustang,1965,ford-289-4.7
BMW,M3,1988,bmw-s14-2.3
Mazda,RX-7,1993,mazda-13brew-1.3tt
Nissan,300ZX,1990,nissan-vg30dett-3.0tt
Toyota,Celica GT-Four,1990,toyota-3sgte-2.0t
Honda,Integra Type R,1997,honda-b18c5-1.8
Lexus,LFA,2011,lexus-1lrgue-4.8
McLaren,F1,1994,mclaren-s70-2-6.1
Ferrari,F355,1995,ferrari-f129-3.5
Ferrari,Testarossa,1986,ferrari-flat12-4.9
Lamborghini,Countach,1985,lamborghini-v12qv-5.2
Shelby,Cobra,1965,ford-427-sideoiler
Porsche,944,1986,porsche-944-2.5
Porsche,928,1985,porsche-928-4.7
Volvo,850 T5,1995,volvo-b5234t-2.3t
Saab,900 Turbo,1985,saab-b202-2.0t
