Make,Model,Year,Powertrain_Ref
Mazda,MX-5 Miata,2019,pt-mazda-skyactivg-2.0
Porsche,911,2020,pt-porsche-9a2evo-3.0tt
Porsche,911,2018,pt-porsche-9a1-4.0
Toyota,GR Supra,2021,pt-toyota-b58-3.0t
Honda,S2000,2000,pt-honda-f20c-2.0
Subaru,WRX,2018,pt-subaru-fa20dit-2.0t
Ford,Mustang,2020,pt-ford-coyote-gen3-5.0
Chevrolet,Corvette,2020,pt-chevrolet-lt2-6.2-early
Chevrolet,Corvette,2021,pt-chevrolet-lt2-6.2-early
Chevrolet,Corvette,2022,pt-chevrolet-lt2-6.2-early
Chevrolet,Corvette,2023,pt-chevrolet-lt2-6.2-early
Chevrolet,Corvette,2024,pt-chevrolet-lt2-6.2-late
Chevrolet,Corvette,2025,pt-chevrolet-lt2-6.2-late
BMW,M3,2022,pt-bmw-s58-3.0tt
Nissan,GT-R,2020,pt-nissan-vr38dett-3.8tt
Volkswagen,Golf GTI,2017,pt-vw-ea888gen3-2.0t
Honda,Civic Type R,2018,pt-honda-k20c1-2.0t
Toyota,Supra,1994,pt-toyota-2jzgte-3.0tt
Nissan,Skyline GT-R,1999,pt-nissan-rb26dett-2.6tt
Mitsubishi,Lancer Evolution,2006,pt-mitsubishi-4g63-2.0t
Subaru,Impreza WRX STI,2006,pt-subaru-ej257-2.5t
Dodge,Viper,2013,pt-dodge-viper-8.4-v10
Dodge,Challenger,2015,pt-dodge-hellcat-6.2sc
BMW,M3,2003,pt-bmw-s54-3.2
Audi,R8,2017,pt-audi-r8-5.2fsi-v10
Ferrari,458 Italia,2011,pt-ferrari-f136-4.5
Lamborghini,Huracan,2015,pt-lamborghini-huracan-5.2
McLaren,720S,2018,pt-mclaren-m840t-4.0tt
Toyota,Corolla GT-S,1985,pt-toyota-4age-1.6
Acura,NSX,1991,pt-acura-c30a-3.0
Ford,GT,2017,pt-ford-ecoboost-3.5tt-gt
Toyota,Camry,2020,pt-toyota-a25afks-2.5
Honda,Accord,2018,pt-honda-l15b7-1.5t
Audi,TT RS,2018,pt-audi-2.5tfsi-i5
Datsun,240Z,1970,pt-datsun-l24-2.4
BMW,2002,1972,pt-bmw-m10-2.0
Porsche,356,1955,pt-porsche-356-1.6
Jaguar,E-Type,1961,pt-jaguar-xk-3.8
Mercedes-Benz,300SL,1955,pt-mercedes-m198-3.0
Chevrolet,Bel Air,1955,pt-chevrolet-265-v8
Pontiac,GTO,1966,pt-pontiac-389-v8
Buick,Grand National,1987,pt-buick-lc2-3.8t
Ford,Mustang,1965,pt-ford-289-4.7
BMW,M3,1988,pt-bmw-s14-2.3
Mazda,RX-7,1993,pt-mazda-13brew-1.3tt
Nissan,300ZX,1990,pt-nissan-vg30dett-3.0tt
Toyota,Celica GT-Four,1990,pt-toyota-3sgte-2.0t
Honda,Integra Type R,1997,pt-honda-b18c5-1.8
Lexus,LFA,2011,pt-lexus-1lrgue-4.8
McLaren,F1,1994,pt-mclaren-s70-2-6.1
Ferrari,F355,1995,pt-ferrari-f129-3.5
Ferrari,Testarossa,1986,pt-ferrari-flat12-4.9
Lamborghini,Countach,1985,pt-lamborghini-v12qv-5.2
Shelby,Cobra,1965,pt-ford-427-sideoiler
Porsche,944,1986,pt-porsche-944-2.5
Porsche,928,1985,pt-porsche-928-4.7
Volvo,850 T5,1995,pt-volvo-b5234t-2.3t
Saab,900 Turbo,1985,pt-saab-b202-2.0t
Mercedes-Benz,190E 2.3-16,1986,pt-mercedes-m102-2.3-16
Chevrolet,Corvette,1997,pt-chevrolet-ls1-5.7-vette
Chevrolet,Corvette,1998,pt-chevrolet-ls1-5.7-vette
Chevrolet,Corvette,1999,pt-chevrolet-ls1-5.7-vette
Chevrolet,Corvette,2000,pt-chevrolet-ls1-5.7-vette
Chevrolet,Corvette,2001,pt-chevrolet-ls1-5.7-vette
Chevrolet,Corvette,2002,pt-chevrolet-ls1-5.7-vette
Chevrolet,Corvette,2003,pt-chevrolet-ls1-5.7-vette
Chevrolet,Corvette,2004,pt-chevrolet-ls1-5.7-vette
Chevrolet,Camaro,1998,pt-chevrolet-ls1-5.7-fbody
Chevrolet,Camaro,1999,pt-chevrolet-ls1-5.7-fbody
Chevrolet,Camaro,2000,pt-chevrolet-ls1-5.7-fbody
Chevrolet,Camaro,2001,pt-chevrolet-ls1-5.7-fbody
Chevrolet,Camaro,2002,pt-chevrolet-ls1-5.7-fbody
Pontiac,Firebird,1998,pt-chevrolet-ls1-5.7-fbody
Pontiac,Firebird,1999,pt-chevrolet-ls1-5.7-fbody
Pontiac,Firebird,2000,pt-chevrolet-ls1-5.7-fbody
Pontiac,Firebird,2001,pt-chevrolet-ls1-5.7-fbody
Pontiac,Firebird,2002,pt-chevrolet-ls1-5.7-fbody
Chevrolet,Corvette,2001,pt-chevrolet-ls6-5.7
Chevrolet,Corvette,2002,pt-chevrolet-ls6-5.7
Chevrolet,Corvette,2003,pt-chevrolet-ls6-5.7
Chevrolet,Corvette,2004,pt-chevrolet-ls6-5.7
Chevrolet,Corvette,2005,pt-chevrolet-ls2-6.0
Chevrolet,Corvette,2006,pt-chevrolet-ls2-6.0
Chevrolet,Corvette,2007,pt-chevrolet-ls2-6.0
Pontiac,GTO,2004,pt-chevrolet-ls1-5.7-gto
Pontiac,GTO,2005,pt-chevrolet-ls2-6.0
Pontiac,GTO,2006,pt-chevrolet-ls2-6.0
Chevrolet,Trailblazer,2006,pt-chevrolet-ls2-6.0
Chevrolet,Trailblazer,2007,pt-chevrolet-ls2-6.0
Chevrolet,Trailblazer,2008,pt-chevrolet-ls2-6.0
Chevrolet,Trailblazer,2009,pt-chevrolet-ls2-6.0
Pontiac,G8,2008,pt-chevrolet-l76-6.0
Pontiac,G8,2009,pt-chevrolet-l76-6.0
Chevrolet,Corvette,2008,pt-chevrolet-ls3-6.2-vette
Chevrolet,Corvette,2009,pt-chevrolet-ls3-6.2-vette
Chevrolet,Corvette,2010,pt-chevrolet-ls3-6.2-vette
Chevrolet,Corvette,2011,pt-chevrolet-ls3-6.2-vette
Chevrolet,Corvette,2012,pt-chevrolet-ls3-6.2-vette
Chevrolet,Corvette,2013,pt-chevrolet-ls3-6.2-vette
